seed,task_ms,duplicate_ratio,tasks,rep,arm,wall_seconds,executed,hits,misses,key_mismatches
1337,5.0000,0.5000,64,2,A,0.078498570,64,0,0,0
1337,5.0000,0.5000,64,2,B,0.040449929,32,0,0,0
1337,5.0000,0.5000,64,2,C,0.001091860,0,32,0,0
1337,5.0000,0.5000,64,3,A,0.077685764,64,0,0,0
1337,5.0000,0.5000,64,3,B,0.039926978,32,0,0,0
1337,5.0000,0.5000,64,3,C,0.001151171,0,32,0,0
1337,5.0000,0.5000,64,4,A,0.077616443,64,0,0,0
1337,5.0000,0.5000,64,4,B,0.039849592,32,0,0,0
1337,5.0000,0.5000,64,4,C,0.001093183,0,32,0,0
1337,5.0000,0.5000,64,5,A,0.075267422,64,0,0,0
1337,5.0000,0.5000,64,5,B,0.042106200,32,0,0,0
1337,5.0000,0.5000,64,5,C,0.001096249,0,32,0,0
1337,5.0000,0.5000,64,6,A,0.077632533,64,0,0,0
1337,5.0000,0.5000,64,6,B,0.040729544,32,0,0,0
1337,5.0000,0.5000,64,6,C,0.001091500,0,32,0,0
1337,5.0000,0.5000,64,7,A,0.078622422,64,0,0,0
1337,5.0000,0.5000,64,7,B,0.040508770,32,0,0,0
1337,5.0000,0.5000,64,7,C,0.001083745,0,32,0,0
1337,5.0000,0.5000,64,8,A,0.078824372,64,0,0,0
1337,5.0000,0.5000,64,8,B,0.041988068,32,0,0,0
1337,5.0000,0.5000,64,8,C,0.001090558,0,32,0,0
1337,5.0000,0.7500,64,0,A,0.076970771,64,0,0,0
1337,5.0000,0.7500,64,0,B,0.021343931,16,0,0,0
1337,5.0000,0.7500,64,0,C,0.001118009,0,16,0,0
1337,5.0000,0.7500,64,1,A,0.078443787,64,0,0,0
1337,5.0000,0.7500,64,1,B,0.021310909,16,0,0,0
1337,5.0000,0.7500,64,1,C,0.001094054,0,16,0,0
1337,5.0000,0.7500,64,2,A,0.078554284,64,0,0,0
1337,5.0000,0.7500,64,2,B,0.022001396,16,0,0,0
1337,5.0000,0.7500,64,2,C,0.001122097,0,16,0,0
1337,5.0000,0.7500,64,3,A,0.078546009,64,0,0,0
1337,5.0000,0.7500,64,3,B,0.022721989,16,0,0,0
1337,5.0000,0.7500,64,3,C,0.001105546,0,16,0,0
1337,5.0000,0.7500,64,4,A,0.075801455,64,0,0,0
1337,5.0000,0.7500,64,4,B,0.021836496,16,0,0,0
1337,5.0000,0.7500,64,4,C,0.001094725,0,16,0,0
1337,5.0000,0.7500,64,5,A,0.078905624,64,0,0,0
1337,5.0000,0.7500,64,5,B,0.021334694,16,0,0,0
1337,5.0000,0.7500,64,5,C,0.001089065,0,16,0,0
1337,5.0000,0.7500,64,6,A,0.074104317,64,0,0,0
1337,5.0000,0.7500,64,6,B,0.021924712,16,0,0,0
1337,5.0000,0.7500,64,6,C,0.001125363,0,16,0,0
1337,5.0000,0.7500,64,7,A,0.078509139,64,0,0,0
1337,5.0000,0.7500,64,7,B,0.020250207,16,0,0,0
1337,5.0000,0.7500,64,7,C,0.001110455,0,16,0,0
1337,5.0000,0.7500,64,8,A,0.078641578,64,0,0,0
1337,5.0000,0.7500,64,8,B,0.021413502,16,0,0,0
1337,5.0000,0.7500,64,8,C,0.001102110,0,16,0,0
1337,10.0000,0.2500,64,0,A,0.151443982,64,0,0,0
1337,10.0000,0.2500,64,0,B,0.116780167,48,0,0,0
1337,10.0000,0.2500,64,0,C,0.001097231,0,48,0,0
1337,10.0000,0.2500,64,1,A,0.147823803,64,0,0,0
1337,10.0000,0.2500,64,1,B,0.116810084,48,0,0,0
1337,10.0000,0.2500,64,1,C,0.001096208,0,48,0,0
1337,10.0000,0.2500,64,2,A,0.148025352,64,0,0,0
1337,10.0000,0.2500,64,2,B,0.117001022,48,0,0,0
1337,10.0000,0.2500,64,2,C,0.001106288,0,48,0,0
1337,10.0000,0.2500,64,3,A,0.151473547,64,0,0,0
1337,10.0000,0.2500,64,3,B,0.115572790,48,0,0,0
1337,10.0000,0.2500,64,3,C,0.001105596,0,48,0,0
1337,10.0000,0.2500,64,4,A,0.145763083,64,0,0,0
1337,10.0000,0.2500,64,4,B,0.116499771,48,0,0,0
